GWO,2,bear2,otsu,80,116
GWO,3,bear2,otsu,68,99,121
GWO,5,bear2,otsu,18,77,94,115,254
GWO,7,bear2,otsu,2,28,84,87,96,147,193
GWO,8,bear2,otsu,2,20,83,91,94,118,185,211
GWO,10,bear2,otsu,3,18,63,77,89,90,113,121,249,254
GWO,12,bear2,otsu,12,22,26,77,82,94,113,120,121,152,220,225
GWO,13,bear2,otsu,6,9,76,79,80,112,115,115,155,185,195,222,237
GWO,15,bear2,otsu,0,4,6,26,84,89,92,93,114,137,194,200,207,223,239
GWO,17,bear2,otsu,4,20,21,23,73,77,81,91,98,110,114,123,196,206,207,208,215
GWO,18,bear2,otsu,15,20,29,32,59,78,88,90,92,96,118,122,186,192,207,212,222,224
GWO,20,bear2,otsu,0,10,13,15,16,61,68,75,83,93,105,106,106,113,118,169,223,227,232,250
