GWO,2,bear2,otsu,79,116
GWO,3,bear2,otsu,71,97,122
GWO,5,bear2,otsu,1,79,93,115,227
GWO,7,bear2,otsu,0,79,81,117,118,194,204
GWO,8,bear2,otsu,25,27,75,92,94,115,203,220
GWO,10,bear2,otsu,11,23,52,83,92,92,117,225,239,250
GWO,12,bear2,otsu,5,22,27,80,80,92,97,117,123,170,183,188
GWO,13,bear2,otsu,9,21,42,60,70,73,99,100,112,121,134,189,216
GWO,15,bear2,otsu,1,30,35,62,68,87,88,92,100,112,120,148,186,203,245
GWO,17,bear2,otsu,4,11,20,31,81,81,87,87,90,94,151,165,171,179,203,211,225
GWO,18,bear2,otsu,10,21,27,27,42,54,89,93,93,94,94,152,171,173,208,214,222,244
GWO,20,bear2,otsu,22,26,37,44,51,51,56,66,69,79,85,90,92,97,120,146,162,189,210,254
GWO,22,bear2,otsu,1,10,18,23,23,33,60,77,83,89,95,96,100,113,114,120,164,168,207,212,224,247
GWO,23,bear2,otsu,11,17,18,28,31,82,86,89,90,90,113,116,120,143,168,175,198,200,211,215,218,224,230
GWO,25,bear2,otsu,11,11,12,24,30,30,32,79,81,85,87,88,88,90,97,118,120,124,138,161,163,173,196,202,250
