GWO,2,bear,otsu,76,122
GWO,3,bear,otsu,70,102,141
GWO,5,bear,otsu,1,73,106,118,254
GWO,7,bear,otsu,4,69,78,105,119,150,250
GWO,8,bear,otsu,7,13,78,105,107,124,238,254
GWO,10,bear,otsu,3,11,73,75,79,122,124,127,236,254
GWO,12,bear,otsu,1,8,13,73,81,106,107,125,127,223,228,254
GWO,13,bear,otsu,4,14,21,49,78,81,105,112,122,130,227,228,228
GWO,15,bear,otsu,0,3,20,72,76,105,107,115,117,152,161,231,236,249,251
GWO,17,bear,otsu,11,17,17,59,67,76,77,101,109,131,138,140,150,206,210,254,254
GWO,18,bear,otsu,25,33,38,47,49,71,87,108,112,114,123,143,190,209,218,219,219,244
GWO,20,bear,otsu,15,27,28,28,48,73,73,83,99,105,117,120,125,143,148,229,233,241,254,254
GWO,22,bear,otsu,2,11,14,17,24,63,64,90,100,101,104,107,111,121,127,151,179,211,230,235,236,241
GWO,23,bear,otsu,8,17,20,22,27,27,63,73,83,98,104,106,112,118,120,133,139,143,144,203,244,254,254
GWO,25,bear,otsu,7,16,21,26,29,40,76,83,84,88,94,112,113,118,119,121,143,145,174,222,229,243,243,254,254
