GWO,2,bear2,otsu,81,116
GWO,3,bear2,otsu,70,98,122
GWO,5,bear2,otsu,21,78,92,114,240
GWO,7,bear2,otsu,10,70,92,94,111,128,243
GWO,8,bear2,otsu,22,43,75,83,89,115,214,223
GWO,10,bear2,otsu,0,18,80,88,91,95,117,187,198,225
GWO,12,bear2,otsu,0,2,36,69,83,89,93,111,112,129,229,254
GWO,13,bear2,otsu,6,10,25,73,82,84,92,114,116,117,191,192,212
GWO,15,bear2,otsu,0,0,0,26,30,51,54,63,72,95,148,155,205,219,254
GWO,17,bear2,otsu,12,16,21,25,80,87,92,95,97,102,117,175,177,184,207,224,226
GWO,18,bear2,otsu,10,12,17,32,38,39,59,75,79,84,88,90,97,105,158,237,250,254
GWO,20,bear2,otsu,7,8,23,28,28,32,51,67,82,92,94,94,98,99,122,165,168,192,220,254
GWO,22,bear2,otsu,2,4,36,36,37,42,83,87,91,93,94,95,97,99,124,160,171,175,186,197,219,230
GWO,23,bear2,otsu,7,11,26,33,33,35,40,47,48,60,74,82,84,84,87,87,106,107,161,192,201,206,238
GWO,25,bear2,otsu,24,25,25,26,30,43,57,61,70,84,88,91,98,100,105,112,112,122,123,126,139,143,152,195,212
