GWO,2,bear,otsu,4,10
GWO,3,bear,otsu,11,254,254
GWO,5,bear,otsu,0,0,0,5,10
GWO,7,bear,otsu,246,254,254,254,254,254,254
GWO,8,bear,otsu,10,254,254,254,254,254,254,254
GWO,10,bear,otsu,12,17,249,254,254,254,254,254,254,254
GWO,12,bear,otsu,1,239,243,244,246,249,253,254,254,254,254,254
GWO,13,bear,otsu,2,2,9,15,16,20,242,244,244,254,254,254,254
GWO,15,bear,otsu,3,5,10,17,35,46,55,65,215,219,220,232,254,254,254
GWO,17,bear,otsu,2,2,9,16,21,28,28,36,43,45,203,210,211,214,215,240,253
GWO,18,bear,otsu,3,10,34,34,38,38,38,41,44,44,220,231,232,233,238,251,254,254
GWO,20,bear,otsu,0,0,3,11,14,18,24,35,72,193,203,206,213,220,237,243,250,254,254,254
GWO,22,bear,otsu,12,34,35,42,58,58,146,148,152,159,160,165,167,176,176,206,221,221,227,234,235,243
GWO,23,bear,otsu,0,0,0,0,0,4,52,68,73,74,76,154,165,184,196,207,221,234,254,254,254,254,254
