GWO,2,bear2,otsu,80,116
GWO,3,bear2,otsu,70,97,121
GWO,5,bear2,otsu,1,80,93,117,235
GWO,7,bear2,otsu,3,71,85,99,120,123,194
GWO,8,bear2,otsu,13,19,82,92,92,117,208,235
GWO,10,bear2,otsu,4,18,74,84,97,99,116,126,181,215
GWO,12,bear2,otsu,6,22,59,79,81,85,97,119,120,123,198,247
GWO,13,bear2,otsu,16,25,29,36,91,91,94,95,198,203,219,237,239
GWO,15,bear2,otsu,0,14,23,23,72,92,94,94,95,102,123,160,186,208,232
GWO,17,bear2,otsu,1,17,38,45,45,48,64,88,94,94,95,101,118,136,151,246,254
GWO,18,bear2,otsu,10,12,21,32,64,79,82,91,92,92,95,117,117,124,183,210,224,249
GWO,20,bear2,otsu,20,26,28,33,65,72,77,83,90,104,110,110,114,117,121,169,172,172,204,230
