GWO,2,bear2,otsu,154,176
GWO,3,bear2,otsu,14,148,177
GWO,5,bear2,otsu,4,144,149,176,254
GWO,7,bear2,otsu,0,0,38,142,176,254,254
GWO,8,bear2,otsu,0,31,146,160,178,241,254,254
GWO,10,bear2,otsu,1,2,28,148,153,160,174,178,188,243
GWO,12,bear2,otsu,3,4,6,26,28,29,171,213,230,236,239,246
GWO,13,bear2,otsu,0,2,25,47,147,149,187,229,231,253,254,254,254
GWO,15,bear2,otsu,0,0,0,143,150,152,158,174,207,213,237,253,254,254,254
GWO,17,bear2,otsu,5,19,24,137,138,144,153,167,170,175,180,223,227,235,239,239,240
GWO,18,bear2,otsu,11,17,25,30,45,110,129,130,134,138,141,173,180,217,227,228,252,252
GWO,20,bear2,otsu,0,0,9,13,13,17,24,30,34,113,118,123,128,167,186,230,234,254,254,254
GWO,22,bear2,otsu,0,0,0,26,27,44,56,124,130,130,134,140,150,159,165,175,181,182,196,220,254,254
GWO,23,bear2,otsu,0,0,0,11,25,31,35,39,48,127,132,144,153,154,164,187,199,199,205,215,236,240,254
GWO,25,bear2,otsu,0,0,8,21,30,36,37,41,54,56,58,61,80,82,82,134,155,163,165,166,171,176,254,254,254
