GWO,2,bear2,otsu,13,17
GWO,3,bear2,otsu,10,232,251
GWO,5,bear2,otsu,0,0,254,254,254
GWO,7,bear2,otsu,232,245,247,254,254,254,254
GWO,8,bear2,otsu,0,5,20,24,199,202,228,254
GWO,10,bear2,otsu,5,8,14,228,230,237,238,240,245,254
GWO,12,bear2,otsu,0,0,175,178,181,221,223,240,243,254,254,254
GWO,13,bear2,otsu,8,35,42,42,48,166,192,200,201,209,213,219,243
GWO,15,bear2,otsu,13,15,20,23,185,186,188,188,191,197,209,231,236,242,247
GWO,17,bear2,otsu,7,12,14,18,20,21,33,34,40,153,161,162,189,189,203,217,230
GWO,18,bear2,otsu,0,0,0,9,34,45,47,154,166,197,201,204,207,215,229,236,247,254
GWO,20,bear2,otsu,8,10,20,132,133,138,144,149,152,155,155,179,185,199,224,227,229,232,233,241
