GWO,2,bear,otsu,76,122
GWO,3,bear,otsu,69,102,137
GWO,5,bear,otsu,0,75,108,121,254
GWO,7,bear,otsu,2,68,74,104,124,140,254
GWO,8,bear,otsu,8,28,63,104,111,115,221,250
GWO,10,bear,otsu,3,22,70,73,97,109,118,136,254,254
GWO,12,bear,otsu,8,9,34,69,70,99,101,104,136,137,222,247
GWO,13,bear,otsu,16,22,23,71,98,106,108,109,121,237,239,243,254
GWO,15,bear,otsu,15,17,17,37,68,72,100,107,113,124,146,229,244,254,254
GWO,17,bear,otsu,2,9,22,54,66,86,87,89,104,120,121,152,163,170,173,254,254
GWO,18,bear,otsu,17,24,26,61,73,78,80,93,96,99,116,118,130,153,172,229,254,254
GWO,20,bear,otsu,2,13,16,27,33,58,58,66,68,75,97,111,120,122,126,146,222,232,241,254
GWO,22,bear,otsu,6,23,26,30,56,61,77,84,88,97,100,126,129,131,134,164,181,220,227,238,239,245
GWO,23,bear,otsu,9,9,18,20,22,24,43,44,71,80,83,103,113,119,121,128,158,189,211,248,249,253,254
GWO,25,bear,otsu,3,3,4,9,14,28,45,60,74,75,85,99,100,104,108,126,131,139,153,161,202,221,224,237,244
