GWO,2,bear,otsu,0,17
GWO,3,bear,otsu,2,254,254
GWO,5,bear,otsu,0,17,254,254,254
GWO,7,bear,otsu,9,11,254,254,254,254,254
GWO,8,bear,otsu,15,16,28,36,219,236,243,254
GWO,10,bear,otsu,0,3,15,195,220,222,233,236,254,254
GWO,12,bear,otsu,16,17,51,51,56,59,154,169,204,222,225,226
GWO,13,bear,otsu,3,14,25,26,26,29,221,222,225,227,231,242,242
GWO,15,bear,otsu,13,15,15,18,18,29,171,174,182,199,203,210,252,254,254
GWO,17,bear,otsu,19,220,225,229,231,232,233,234,236,238,239,242,246,254,254,254,254
GWO,18,bear,otsu,0,0,0,32,157,167,173,181,183,183,195,196,229,245,247,254,254,254
GWO,20,bear,otsu,17,137,137,139,141,146,150,151,168,168,170,181,181,194,198,207,211,212,214,229
GWO,22,bear,otsu,22,29,47,47,61,140,145,154,165,165,168,177,178,186,191,195,204,208,211,223,253,254
GWO,23,bear,otsu,0,0,0,0,0,15,31,33,33,113,124,126,144,149,159,162,176,179,183,233,254,254,254
GWO,25,bear,otsu,6,15,17,23,33,40,47,53,60,149,155,162,164,173,179,184,193,197,206,210,216,231,231,245,254
